"COLLEX","CORP.FREQ","OBS","EXP","ASSOC","COLL.STR.LOGL","SIGNIF"
"affrontare",2281200,93425,21362.4,"attr",134201.25065,"*****"
"pagare",2134106,88987,19984.9,"attr",130355.58149,"*****"
"pervenire",354901,24422,3323.5,"attr",56538.93992,"*****"
"ammettere",982687,37842,9202.4,"attr",50633.01634,"*****"
"fare",50824973,628198,475952.4,"attr",46050.339,"*****"
"preoccupare",747514,31253,7000.1,"attr",45852.16081,"*****"
"accontentare",282691,19237,2647.3,"attr",44144.98276,"*****"
"aspettare",2276627,57343,21319.6,"attr",42080.15599,"*****"
"rinunciare",640893,27139,6001.7,"attr",40364.83041,"*****"
"sottostare",36984,8365,346.3,"attr",39140.54749,"*****"
"ricorrere",573030,23347,5366.2,"attr",33289.49497,"*****"
"rispettare",1055345,32516,9882.8,"attr",32705.73462,"*****"
"ricredere",35817,7015,335.4,"attr",30645.72554,"*****"
"provvedere",608514,22607,5698.5,"attr",28986.06382,"*****"
"imparare",1384806,36322,12968.1,"attr",28542.08845,"*****"
"attendere",1051455,29900,9846.4,"attr",26727.72886,"*****"
"attenere",232977,13205,2181.7,"attr",26046.26865,"*****"
"dire",20765778,259840,194461.9,"attr",20321.08683,"*****"
"avvenire",2799993,50422,26220.6,"attr",17782.97078,"*****"
"sopportare",321450,12758,3010.2,"attr",17660.16635,"*****"
"tenere",5992901,89970,56120.8,"attr",17487.84987,"*****"
"procedere",1254117,28555,11744.2,"attr",17363.86924,"*****"
"recare",709800,19114,6646.9,"attr",15676.0869,"*****"
"fronteggiare",156856,8343,1468.9,"attr",15545.43739,"*****"
"superare",1963257,36364,18385,"attr",13831.17312,"*****"
"confrontare",700583,17762,6560.6,"attr",13167.27921,"*****"
"rispondere",2639187,44252,24714.8,"attr",12647.57919,"*****"
"lottare",311997,10696,2921.7,"attr",12412.55632,"*****"
"arrendere",172375,7755,1614.2,"attr",12286.93525,"*****"
"sborsare",36826,3853,344.9,"attr",11931.37329,"*****"
"subire",1184855,23945,11095.6,"attr",11289.41043,"*****"
"intervenire",1563644,28810,14642.8,"attr",10802.90025,"*****"
"possedere",1018440,20915,9537.2,"attr",10228.35181,"*****"
"vergognare",151009,6595,1414.1,"attr",10131.27856,"*****"
"confessare",180370,7183,1689.1,"attr",9979.83699,"*****"
"rifare",353508,9986,3310.4,"attr",8830.67623,"*****"
"compilare",427953,10925,4007.6,"attr",8194.03758,"*****"
"cambiare",3450152,49602,32309.1,"attr",8046.20521,"*****"
"rassegnare",140485,5670,1315.6,"attr",7996.70016,"*****"
"smettere",592170,13246,5545.4,"attr",7771.06463,"*****"
"corrispondere",681221,14528,6379.3,"attr",7718.84048,"*****"
"sorbire",29974,2664,280.7,"attr",7420.0664,"*****"
"scontare",270612,7679,2534.2,"attr",6837.53753,"*****"
"dimettere",163572,5603,1531.8,"attr",6494.43983,"*****"
"difendere",984752,17672,9221.7,"attr",6165.37608,"*****"
"conformare",61436,3289,575.3,"attr",6164.07352,"*****"
"risarcire",60764,3267,569,"attr",6146.71873,"*****"
"versare",686091,13545,6424.9,"attr",6042.23835,"*****"
"sobbarcare",13062,1681,122.3,"attr",5888.70692,"*****"
"ringraziare",1135735,19192,10635.6,"attr",5614.1863,"*****"
"ripartire",362905,8479,3398.4,"attr",5416.81306,"*****"
"arrangiare",58829,2939,550.9,"attr",5164.66434,"*****"
"ricominciare",237379,6330,2222.9,"attr",5107.29589,"*****"
"constatare",213392,5914,1998.3,"attr",5076.08442,"*****"
"comportare",1212168,19650,11351.4,"attr",5029.61612,"*****"
"astenere",106032,3904,992.9,"attr",4949.62827,"*****"
"sforzare",164254,4993,1538.2,"attr",4922.89297,"*****"
"cedere",549925,10898,5149.8,"attr",4905.14217,"*****"
"vigilare",101796,3761,953.3,"attr",4788.15235,"*****"
"adeguare",588852,11254,5514.3,"attr",4635.84437,"*****"
"contenere",2513067,34085,23533.7,"attr",4200.42779,"*****"
"redigere",102346,3461,958.4,"attr",3945.5061,"*****"
"convivere",171572,4670,1606.7,"attr",3895.0788,"*****"
"sbrigare",39874,2055,373.4,"attr",3718.69082,"*****"
"prestare",761301,12828,7129.2,"attr",3718.53581,"*****"
"restituire",575527,10347,5389.5,"attr",3627.10985,"*****"
"espiare",21989,1522,205.9,"attr",3538.03817,"*****"
"combattere",910540,14523,8526.8,"attr",3517.21007,"*****"
