"COLLEX","CORP.FREQ","OBS","EXP","ASSOC","COLL.STR.LOGL","SIGNIF"
"usufruire",395185,35990,7787.9,"attr",55900.70647,"*****"
"ammirare",560975,41095,11055,"attr",49532.29445,"*****"
"accedere",1059091,58763,20871.3,"attr",47312.00855,"*****"
"contare",1185690,53039,23366.2,"attr",28398.96923,"*****"
"variare",445524,25904,8779.9,"attr",22493.17617,"*****"
"beneficiare",251836,16580,4962.9,"attr",17322.85237,"*****"
"causare",1095999,40678,21598.7,"attr",13695.15446,"*****"
"aiutare",3119721,91035,61479.9,"attr",12669.33405,"*****"
"esimere",41654,4936,820.9,"attr",9909.4527,"*****"
"vantare",496310,20840,9780.7,"attr",9667.48948,"*****"
"gustare",374229,16022,7374.9,"attr",7775.69578,"*****"
"prescindere",349709,15183,6891.7,"attr",7606.41939,"*****"
"immaginare",1119694,34059,22065.6,"attr",5716.972,"*****"
"godere",1208074,36068,23807.3,"attr",5576.41541,"*****"
"degustare",101491,5535,2000.1,"attr",4325.86405,"*****"
"fruire",114501,5780,2256.5,"attr",3938.48163,"*****"
"sbizzarrire",31784,2700,626.4,"attr",3883.83975,"*****"
"constatare",213392,8627,4205.3,"attr",3649.19072,"*****"
"capitare",765872,22790,15092.9,"attr",3470.00725,"*****"
"fregiare",33737,2626,664.8,"attr",3410.91065,"*****"
"influire",205569,8162,4051.1,"attr",3298.04699,"*****"
"optare",282724,9701,5571.6,"attr",2562.82476,"*****"
"avvalere",402602,12726,7934,"attr",2500.85037,"*****"
"obiettare",63822,3321,1257.7,"attr",2391.48022,"*****"
"interferire",96896,4300,1909.5,"attr",2261.04655,"*****"
"scaricare",853539,23173,16820.6,"attr",2193.19428,"*****"
"coesistere",39150,2354,771.5,"attr",2153.07875,"*****"
"visionare",136003,5285,2680.2,"attr",2018.6652,"*****"
"desumere",65706,3065,1294.9,"attr",1790.79485,"*****"
"derogare",30891,1701,608.8,"attr",1351.13232,"*****"
"rivalere",11031,937,217.4,"attr",1347.70243,"*****"
"recedere",34466,1794,679.2,"attr",1292.55388,"*****"
"compromettere",256583,7778,5056.4,"attr",1285.6206,"*****"
"consultare",705302,18204,13899.3,"attr",1240.96877,"*****"
"nuocere",48319,2154,952.2,"attr",1143.80419,"*****"
"detrarre",35987,1760,709.2,"attr",1129.51399,"*****"
"dedurre",201240,6093,3965.8,"attr",1001.80992,"*****"
"contattare",1005118,24293,19807.7,"attr",967.65783,"*****"
"provocare",1054931,25314,20789.4,"attr",940.59081,"*****"
"insorgere",120169,3960,2368.2,"attr",909.92479,"*****"
"arrecare",86334,3008,1701.4,"attr",835.23052,"*****"
"competere",184553,5435,3637,"attr",788.54392,"*****"
"pretendere",393009,9856,7745,"attr",540.97083,"*****"
"riabbracciare",17374,845,342.4,"attr",536.4997,"*****"
"pregiudicare",75886,2398,1495.5,"attr",470.59721,"*****"
"fidare",261399,6758,5151.4,"attr",466.03017,"*****"
"incorrere",100603,3004,1982.6,"attr",464.41593,"*****"
"scorgere",143098,4003,2820,"attr",448.5941,"*****"
"esercitare",725242,16762,14292.2,"attr",412.88971,"*****"
"danneggiare",379976,9085,7488.1,"attr",325.54979,"*****"
"ambire",82583,2285,1627.5,"attr",241.10398,"*****"
"ingenerare",24602,856,484.8,"attr",236.6333,"*****"
"assaporare",139384,3512,2746.8,"attr",200.04022,"*****"
"influenzare",467488,10487,9212.7,"attr",172.2413,"*****"
"ravvisare",65560,1730,1292,"attr",137.08822,"*****"
"interagire",251487,5779,4956,"attr",132.43907,"*****"
"contribuire",1296381,27373,25547.6,"attr",130.14513,"*****"
"attingere",177030,4168,3488.7,"attr",127.1079,"*****"
"degenerare",46995,1277,926.1,"attr",121.43106,"*****"
"ovviare",78870,1989,1554.3,"attr",114.06739,"*****"
"eccedere",68429,1735,1348.5,"attr",103.71424,"*****"
"verificare",1857948,38552,36614.3,"attr",102.95127,"*****"
"concorrere",215264,4886,4242.2,"attr",95.09063,"*****"
"paragonare",175084,3983,3450.4,"attr",79.95749,"*****"
"reperire",164951,3762,3250.7,"attr",78.14595,"*****"
"scegliere",4010786,81465,79039.9,"attr",75.31436,"*****"
"assaggiare",187932,4215,3703.5,"attr",69.01527,"*****"
"riassumere",274725,5996,5414,"attr",61.71189,"*****"
"noleggiare",103833,2373,2046.2,"attr",50.66396,"*****"
"alterare",186199,4038,3669.4,"attr",36.5953,"*****"
"inficiare",36148,875,712.4,"attr",35.33775,"*****"
"riavere",40969,973,807.4,"attr",32.5524,"*****"
"sopportare",321450,6720,6334.8,"attr",23.44142,"*****"
"giovare",172299,3611,3395.5,"attr",13.67674,"***"
"sfociare",117976,2478,2324.9,"attr",10.0664,"**"
"differire",125505,2615,2473.3,"attr",8.13042,"**"
"tollerare",165435,3390,3260.2,"attr",5.20474,"*"
"sostare",78954,1628,1555.9,"attr",3.35473,"ns"
"aspirare",160096,3246,3155,"attr",2.65359,"ns"
"sopperire",50054,1024,986.4,"attr",1.44373,"ns"
"riutilizzare",77023,1556,1517.9,"attr",0.96869,"ns"
"ripercuotere",35556,718,700.7,"attr",0.43242,"ns"
"sortire",39907,804,786.4,"attr",0.39704,"ns"
